Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Replica Status,Replica Code,,,,,,,,,,,,,,,,
MC399,BigMikeOG's Baltimore Regional 2027 Top 16 Team,,Michael Spinetta-McCarthy,,,,Aerodactylite,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/54c13517f563db12,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,11th,https://x.com/gaz_bigmikeog/status/2101782375218766049?s=46,-,https://victoryroad.pro/2027-baltimore/,gaz_bigmikeog,,Aerodactyl-Mega,Charizard-Mega-Y,Farigiraf,Kingambit,Sylveon,Garchomp,,MC399
MC398,Panda's Baltimore Regional 2027 Top 16 Team,,Justin Tang,,,,Delphoxite,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Colbur Berry,,,Life Orb,,https://pokepast.es/2a58ff9b99dab3a3,No,Extracted,X,None,21 Sep 2026,Baltimore Regional 2027,12th,https://x.com/unironicpanda/status/2101717914244026693,-,https://victoryroad.pro/2027-baltimore/,unironicpanda,,Delphox-Mega,Floette-Eternal-Mega,Incineroar,Sneasler,Sinistcha-Masterpiece,Kingambit,,MC398
MC397,Andres Wilkerson's Baltimore Regional 2027 Top 16 Team,,Andres Wilkerson,,,,Gardevoirite,,,Lopunnite,,,Focus Sash,,,Psychic Seed,,,Colbur Berry,,,Life Orb,,https://pokepast.es/e97cb94d7e8d7678,Yes,Owner's,X,None,21 Sep 2026,Baltimore Regional 2027,13th,https://x.com/HitTheCritty/status/2102058740329349457,-,https://victoryroad.pro/2027-baltimore/,HitTheCritty,,Gardevoir-Mega,Lopunny-Mega,Ceruledge,Sneasler,Indeedee-F,Dragonite,,MC397
MC396,dylanis_chilln's Baltimore Regional 2027 Top 16 Team,,dylanis_chilln,,,,Metagrossite,,,Focus Sash,,,Psychic Seed,,,Rocky Helmet,,,Haban Berry,,,Life Orb,,https://pokepast.es/1a24e07035a9036e,Yes,Owner's,✔,MHD8VN8CXC,21 Sep 2026,Baltimore Regional 2027,16th,https://x.com/dylanis_chilln/status/2101715187644449113?s=46,-,https://victoryroad.pro/2027-baltimore/,dylanis_chilln,,Metagross-Mega,Arcanine-Hisui,Milotic,Indeedee-F,Altaria,Dragapult,,MC396
MC395,brenburkhardt's Baltimore Regional 2027 Top 32 Team,,brenburkhardt,,,,Salamencite,,,Tyranitarite,,,Life Orb,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/7964df3689592688,Yes,Extracted,✔,4EYRS19FTW,21 Sep 2026,Baltimore Regional 2027,17th,https://x.com/brenburkhardt/status/2101761531604062266?s=46,-,https://victoryroad.pro/2027-baltimore/,brenburkhardt,,Salamence-Mega,Tyranitar-Mega,Primarina,Excadrill,Sinistcha,Gholdengo,,MC395
MC394,ChessBoard's Baltimore Regional 2027 Top 32 Team,,Mason Cutler,,,,Gardevoirite,,,Pyroarite,,,Mystic Water,,,Rocky Helmet,,,Focus Sash,,,Life Orb,,https://pokepast.es/f0c719a12f5ca9c7,Yes,Owner's,✔,JTJQ3LCV5K,21 Sep 2026,Baltimore Regional 2027,18th,https://x.com/ChessBoard__/status/2101713480357146737,-,https://victoryroad.pro/2027-baltimore/,ChessBoard__,,Gardevoir-Mega,Pyroar-Mega,Basculegion,Indeedee-F,Whimsicott,Kommo-o,,MC394
MC393,ArKane's Baltimore Regional 2027 Top 32 Team,,Daniel Yu,,,,Metagrossite,,,Focus Sash,,,Psychic Seed,,,Rocky Helmet,,,Haban Berry,,,Life Orb,,https://pokepast.es/ea35d1777f660322,Yes,Extracted,✔,U3JUJFWFD2,21 Sep 2026,Baltimore Regional 2027,20th,https://x.com/ArKaneVGC/status/2101711531046301884,-,https://victoryroad.pro/2027-baltimore/,ArKaneVGC,,Metagross-Mega,Arcanine-Hisui,Milotic,Indeedee-F,Altaria,Dragapult,,MC393
MC392,doughboyvgc's Baltimore Regional 2027 Top 32 Team,,doughboyvgc,,,,Golisopite,,,Salamencite,,,Choice Scarf,,,Focus Sash,,,Expert Belt,,,Leftovers,,https://pokepast.es/9498e26ea89bd49c,Yes,Extracted,✔,NTB3MRCL6U,21 Sep 2026,Baltimore Regional 2027,21st,https://x.com/doughboyvgc/status/2101789266850259233?s=46,-,https://victoryroad.pro/2027-baltimore/,doughboyvgc,,Golisopod-Mega,Salamence-Mega,Basculegion,Pelipper,Rillaboom,Archaludon,,MC392
MC391,willbrown_vgc's Baltimore Regional 2027 Top 32 Team,,willbrown_vgc,,,,Garchompite Z,,,Lucarionite Z,,,Sitrus Berry,,,Life Orb,,,Miracle Seed,,,Grassy Seed,,https://pokepast.es/3ab405a83e618503,Yes,Extracted,✔,VMB354UUA9,22 Sep 2026,Baltimore Regional 2027,28th,https://x.com/willbrown_vgc/status/2102084579817312694?s=46,-,https://victoryroad.pro/2027-baltimore/,willbrown_vgc,,Garchomp-Mega-Z,Lucario-Mega-Z,Incineroar,Basculegion,Rillaboom,Sneasler,,MC391
MC390,Twilite's Baltimore Regional 2027 Top 32 Team,,Kshaunish Shaik,,,,Garchompite Z,,,Raichunite Y,,,Sitrus Berry,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/d41341435d22d77b,Yes,Owner's,✔,6RYX4RDE6Y,21 Sep 2026,Baltimore Regional 2027,32nd,https://x.com/twilite0/status/2101871491792982080?s=46,-,https://victoryroad.pro/2027-baltimore/,twilite0,,Garchomp-Mega-Z,Raichu-Mega-Y,Incineroar,Rillaboom,Sneasler,Gholdengo,,MC390
MC389,spacesnak3's Baltimore Regional 2027 Top 64 Team,,spacesnak3,,,,Charizardite Y,,,Sitrus Berry,,,Wide Lens,,,White Herb,,,Life Orb,,,Focus Sash,,https://pokepast.es/7daa12192d6b54cf,Yes,Extracted,✔,QMNWBAYCNN,21 Sep 2026,Baltimore Regional 2027,37th,https://x.com/spacesnak3/status/2101708605963518084?s=46,-,https://victoryroad.pro/2027-baltimore/,spacesnak3,,Charizard-Mega-Y,Incineroar,Venusaur,Gholdengo,Garchomp,Noivern,,MC389
MC388,zoryavgc's Baltimore Regional 2027 Top 64 Team,,zoryavgc,,,,Froslassite,,,Raichunite Y,,,Focus Sash,,,Miracle Seed,,,White Herb,,,Life Orb,,https://pokepast.es/0bd9b6346f3630a1,Yes,Extracted,✔,2N8VC5HBDL,22 Sep 2026,Baltimore Regional 2027,41st,https://x.com/zoryavgc/status/2102067722863480925?s=46,-,https://victoryroad.pro/2027-baltimore/,zoryavgc,,Froslass-Mega,Raichu-Mega-Y,Arcanine-Hisui,Rillaboom,Sneasler,Kingambit,,MC388
MC387,canadia_tuxedo's Baltimore Regional 2027 Top 64 Team,,canadia_tuxedo,,,,Golisopite,,,Swampertite,,,Sitrus Berry,,,Focus Sash,,,Rocky Helmet,,,Leftovers,,https://pokepast.es/8733c956c7c15dc6,Yes,Extracted,✔,82Y35N5N3L,21 Sep 2026,Baltimore Regional 2027,43rd,https://x.com/canadia_tuxedo/status/2101810798238507345?s=46,-,https://victoryroad.pro/2027-baltimore/,canadia_tuxedo,,Golisopod-Mega,Swampert-Mega,Incineroar,Pelipper,Sinistcha,Archaludon,,MC387
MC386,joej_live's Baltimore Regional 2027 Top 64 Team,,joej_live,,,,Charizardite Y,,,Floettite,,,Sitrus Berry,,,Occa Berry,,,Life Orb,,,Choice Scarf,,https://pokepast.es/dce537b603b784c6,Yes,Extracted,✔,F8Q309DHM7,21 Sep 2026,Baltimore Regional 2027,52nd,https://x.com/joej_live/status/2101706554697236598?s=46,-,https://victoryroad.pro/2027-baltimore/,joej_live,,Charizard-Mega-Y,Floette-Eternal-Mega,Incineroar,Rillaboom,Gholdengo,Garchomp,,MC386
MC385,gufflearts' Baltimore Regional 2027 Top 64 Team,,gufflearts,,,,Raichunite Y,,,Salamencite,,,Focus Sash,,,Leftovers,,,Miracle Seed,,,Life Orb,,https://pokepast.es/d3277b02c40781f3,Yes,Extracted,✔,RLERK0LA50,21 Sep 2026,Baltimore Regional 2027,59th,https://x.com/gufflearts/status/2101834836847501483?s=46,-,https://victoryroad.pro/2027-baltimore/,gufflearts,,Raichu-Mega-Y,Salamence-Mega,Arcanine-Hisui,Milotic,Rillaboom,Gholdengo,,MC385
MC384,Brian's Baltimore Regional 2027 Top 64 Team,,Brian Youm,,,,Raichunite Y,,,Salamencite,,,Sitrus Berry,,,Miracle Seed,,,White Herb,,,Life Orb,,https://pokepast.es/e4aa1030c5e684b4,Yes,Extracted,✔,SYX3QFJ06Y,21 Sep 2026,Baltimore Regional 2027,60th,https://x.com/playmakeryoum/status/2101807236511093180?s=46,-,https://victoryroad.pro/2027-baltimore/,playmakeryoum,,Raichu-Mega-Y,Salamence-Mega,Incineroar,Rillaboom,Sneasler,Gholdengo,,MC384
MC383,Yanagi's Baltimore Regional 2027 Top 128 Team,,Yosuke Takayanagi,,,,Raichunite Y,,,Salamencite,,,Sitrus Berry,,,Miracle Seed,,,Life Orb,,,Leftovers,,https://pokepast.es/270ef42ee47f0369,Yes,Extracted,✔,2J5B4BCSFM,21 Sep 2026,Baltimore Regional 2027,68th,https://x.com/yanagit_poke/status/2101707711427788884?s=46,-,https://victoryroad.pro/2027-baltimore/,yanagit_poke,,Raichu-Mega-Y,Salamence-Mega,Incineroar,Rillaboom,Gholdengo,Kommo-o,,MC383
MC382,sinistchacha's Baltimore Regional 2027 Top 128 Team,,sinistchacha,,,,Salamencite,,,Tyranitarite,,,Sitrus Berry,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/097433efcc505367,Yes,Extracted,✔,9N6D350FMW,22 Sep 2026,Baltimore Regional 2027,69th,https://x.com/sinistchacha/status/2101778231548420373?s=46,-,https://victoryroad.pro/2027-baltimore/,sinistchacha,,Salamence-Mega,Tyranitar-Mega,Milotic,Rillaboom,Sneasler,Gholdengo,,MC382
MC381,misterteshima's Baltimore Regional 2027 Top 128 Team,,misterteshima,,,,Salamencite,,,Focus Sash,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,,Chople Berry,,https://pokepast.es/a8154c05ecfa0e20,Yes,Extracted,✔,FRQSEMR9CD,21 Sep 2026,Baltimore Regional 2027,75th,https://x.com/misterteshima/status/2101822327876923793?s=46,-,https://victoryroad.pro/2027-baltimore/,misterteshima,,Salamence-Mega,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Kingambit,,MC381
MC380,Skraw's Baltimore Regional 2027 Top 128 Team,,Jacob Mortenson,,,,Gardevoirite,,,Salamencite,,,Sitrus Berry,,,Psychic Seed,,,Rocky Helmet,,,Life Orb,,https://pokepast.es/8cc6b2b7139e9db9,Yes,Extracted,✔,2ECEVD4Y18,21 Sep 2026,Baltimore Regional 2027,96th,https://x.com/jacobskraw/status/2101837554395840562?s=46,-,https://victoryroad.pro/2027-baltimore/,jacobskraw,,Gardevoir-Mega,Salamence-Mega,Incineroar,Sneasler,Indeedee-F,Gholdengo,,MC380
MC379,ImageTT7's Baltimore Regional 2027 Top 155 Team,,ImageTT7,,,,Floettite,,,Raichunite Y,,,Sitrus Berry,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/8025f0aef5f2d1b6,Yes,Extracted,✔,17KDDQARA4,21 Sep 2026,Baltimore Regional 2027,134th,https://x.com/ImageTT7/status/2101778208978854289,-,https://victoryroad.pro/2027-baltimore/,ImageTT7,,Floette-Eternal-Mega,Raichu-Mega-Y,Incineroar,Rillaboom,Sneasler,Gholdengo,,MC379
MC378,aricbxxiv's Baltimore Regional 2027 Team,,aricbxxiv,,,,Charizardite Y,,,Golisopite,,,Sitrus Berry,,,Light Clay,,,Leftovers,,,Life Orb,,https://pokepast.es/1e06e1fb09f95133,Yes,Extracted,✔,AMFS8YWTM1,20 Sep 2026,Baltimore Regional 2027,179th,https://x.com/aricbxxiv/status/2101424699515216104?s=46,-,https://victoryroad.pro/2027-baltimore/,aricbxxiv,,Charizard-Mega-Y,Golisopod-Mega,Pelipper,Grimmsnarl,Archaludon,Dragapult,,MC378
MC377,eeveeiynn's Baltimore Regional 2027 Team,,eeveeiynn,,,,Gengarite,,,Sitrus Berry,,,Eject Button,,,Miracle Seed,,,Black Glasses,,,Leftovers,,https://pokepast.es/00c891d2f3287a74,Yes,Owner's,X,None,21 Sep 2026,Baltimore Regional 2027,194th,https://x.com/eeveeiynn/status/2101879767175676120?s=46,-,https://victoryroad.pro/2027-baltimore/,eeveeiynn,,Gengar-Mega,Incineroar,Politoed,Rillaboom,Kingambit,Kommo-o,,MC377
MC376,benguins10's Baltimore Regional 2027 Team,,benguins10,,,,Golisopite,,,Swampertite,,,Life Orb,,,Focus Sash,,,Colbur Berry,,,Leftovers,,https://pokepast.es/06852f6b7710161c,Yes,Owner's,✔,7JJG0PKWNV,20 Sep 2026,Baltimore Regional 2027,241st,Discord Submission,-,https://victoryroad.pro/2027-baltimore/,benguins10,,Golisopod-Mega,Swampert-Mega,Armarouge,Pelipper,Indeedee-F,Archaludon,,MC376
MC375,sunoru's Baltimore Regional 2027 Team,,Si Dawei,,,,Delphoxite,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Rocky Helmet,,,Colbur Berry,,https://pokepast.es/2ed4943b3afafed1,Yes,Owner's,✔,48M0M221JN,21 Sep 2026,Baltimore Regional 2027,245th,https://x.com/sunoru_sidw/status/2101896370005152197?s=46,-,https://victoryroad.pro/2027-baltimore/,sunoru_sidw,,Delphox-Mega,Floette-Mega,Incineroar,Sneasler,Indeedee-F,Sinistcha-Masterpiece,,MC375
MC374,MaineEvent's Baltimore Regional 2027 Team,,Jermaine Mcleod,,,,Raichunite Y,,,Salamencite,,,Focus Sash,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/bfe773d9cda8999c,Yes,Extracted,✔,GQQ9S7XG43,22 Sep 2026,Baltimore Regional 2027,Top 256,https://x.com/pokemaineevent/status/2102113949667770766?s=46,-,https://victoryroad.pro/2027-baltimore/,pokemaineevent,,Raichu-Mega-Y,Salamence-Mega,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,,MC374
MC373,catrachokidd01's Baltimore Regional 2027 Team,,catrachokidd01,,,,Raichunite Y,,,Salamencite,,,Sitrus Berry,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/e01ad4bad0da9ccc,Yes,Extracted,✔,0LR4N19G61,21 Sep 2026,Baltimore Regional 2027,383rd,https://x.com/catrachokidd01/status/2101851481238331708?s=46,-,https://victoryroad.pro/2027-baltimore/,catrachokidd01,,Raichu-Mega-Y,Salamence-Mega,Incineroar,Rillaboom,Sneasler,Gholdengo,,MC373
MC372,seafoamshores' Baltimore Regional 2027 Team,,seafoamshores,,,,Charizardite Y,,,Golisopite,,,Sitrus Berry,,,Light Clay,,,Leftovers,,,Focus Sash,,https://pokepast.es/2b117207f8feb1a5,Yes,Extracted,✔,GA0H1NLJ8J,22 Sep 2026,Baltimore Regional 2027,765th,https://x.com/seafoamshores/status/2102143280892842239?s=46,-,https://victoryroad.pro/2027-baltimore/,seafoamshores,,Charizard-Mega-Y,Golisopod-Mega,Pelipper,Grimmsnarl,Archaludon,Hydreigon,,MC372
MC371,glitchy_potat's Baltimore Regional 2027 Team,,glitchy_potat,,,,Golisopite,,,Salamencite,,,Choice Scarf,,,Sitrus Berry,,,White Herb,,,Leftovers,,https://pokepast.es/3e44cc0d5fba21f8,Yes,Extracted,✔,U5BVXHM6MF,21 Sep 2026,Baltimore Regional 2027,,https://x.com/glitchy_potat/status/2101805976395403494?s=46,-,https://victoryroad.pro/2027-baltimore/,glitchy_potat,,Golisopod-Mega,Salamence-Mega,Basculegion,Pelipper,Sneasler,Archaludon,,MC371
MC370,_hendez_'s Baltimore Regional 2027 Team,,_hendez_,,,,Charizardite Y,,,Garchompite Z,,,Sitrus Berry,,,Miracle Seed,,,Colbur Berry,,,Life Orb,,https://pokepast.es/2d99e9105e5f7a58,Yes,Extracted,✔,DVKP84C1YX,21 Sep 2026,Baltimore Regional 2027,,https://x.com/_hendez_/status/2101777416259506605?s=46,-,https://victoryroad.pro/2027-baltimore/,_hendez_,,Charizard-Mega-Y,Garchomp-Mega-Z,Incineroar,Rillaboom,Farigiraf,Gholdengo,,MC370
MC369,anrivgc's Baltimore Regional 2027 Team,,anrivgc,,,,Floettite,,,Lucarionite Z,,,Sitrus Berry,,,Life Orb,,,Miracle Seed,,,Focus Sash,,https://pokepast.es/de8a417e6e85638a,Yes,Extracted,✔,FCR4RCQEXY,21 Sep 2026,Baltimore Regional 2027,,https://x.com/anrivgc/status/2101695666007212150?s=46,-,https://victoryroad.pro/2027-baltimore/,anrivgc,,Floette-Eternal-Mega,Lucario-Mega-Z,Incineroar,Basculegion,Rillaboom,Aerodactyl,,MC369
MC368,Kaguya's Baltimore Regional 2027 Team,,Blake Falls,,,,Froslassite,,,Mawilite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Life Orb,,https://pokepast.es/06827585de2ad839,Yes,Owner's,✔,VC29B1T07T,21 Sep 2026,Baltimore Regional 2027,,https://x.com/kaguyafalls/status/2101833659640606991?s=46,-,https://victoryroad.pro/2027-baltimore/,kaguyafalls,,Froslass-Mega,Mawile-Mega,Incineroar,Primarina,Pawmot,Farigiraf,,MC368
MC367,astralorautumn's Baltimore Regional 2027 Team,,astralorautumn,,,,Raichunite Y,,,Salamencite,,,Focus Sash,,,Miracle Seed,,,Grassy Seed,,,Life Orb,,https://pokepast.es/dbc606408d738253,Yes,Extracted,✔,647JMM4R7W,20 Sep 2026,Baltimore Regional 2027,,https://x.com/astralorautumn/status/2101428642064515315?s=46,-,https://victoryroad.pro/2027-baltimore/,astralorautumn,,Raichu-Mega-Y,Salamence-Mega,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,,MC367
MC366,cbadgg's Baltimore Regional 2027 Team,,cbadgg,,,,Charizardite Y,,,Floettite,,,Chople Berry,,,Focus Sash,,,Life Orb,,,Choice Scarf,,https://pokepast.es/120461d751b66e3a,Yes,Extracted,✔,S9SVTM7MDJ,20 Sep 2026,Baltimore Regional 2027,,https://x.com/cbadgg/status/2101498563381330268?s=46,-,https://victoryroad.pro/2027-baltimore/,cbadgg,,Charizard-Mega-Y,Floette-Eternal-Mega,Incineroar,Whimsicott,Gholdengo,Garchomp,,MC366
MC365,rowan_stavenow's Baltimore Regional 2027 Team,,rowan_stavenow,,,,Charizardite Y,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Light Clay,,,Leftovers,,https://pokepast.es/3e44a93665f44983,Yes,Extracted,✔,LFGQJFN3TS,20 Sep 2026,Baltimore Regional 2027,,https://x.com/rowan_stavenow/status/2101426926212530373?s=46,-,https://victoryroad.pro/2027-baltimore/,rowan_stavenow,,Charizard-Mega-Y,Basculegion,Pelipper,Venusaur,Grimmsnarl,Archaludon,,MC365
MC364,konnichiwonnor's Baltimore Regional 2027 Team,,konnichiwonnor,,,,Raichunite Y,,,Salamencite,,,Focus Sash,,,Miracle Seed,,,Life Orb,,,Chople Berry,,https://pokepast.es/deb9dac3ff5777d5,Yes,Extracted,✔,RGQUJ0611F,20 Sep 2026,Baltimore Regional 2027,,https://x.com/konnichiwonnor/status/2101438539820937410?s=46,-,https://victoryroad.pro/2027-baltimore/,konnichiwonnor,,Raichu-Mega-Y,Salamence-Mega,Arcanine-Hisui,Rillaboom,Gholdengo,Kingambit,,MC364
MC363,jt_speed's Baltimore Regional 2027 Team,,jt_speed,,,,Lucarionite Z,,,Salamencite,,,Sitrus Berry,,,Choice Scarf,,,Miracle Seed,,,Focus Sash,,https://pokepast.es/a566dfb356531ce8,Yes,Extracted,✔,FDVBT1P6SM,21 Sep 2026,Baltimore Regional 2027,,https://x.com/jt_speed/status/2101870948102152247?s=46,-,https://victoryroad.pro/2027-baltimore/,jt_speed,,Lucario-Mega-Z,Salamence-Mega,Incineroar,Basculegion,Rillaboom,Pawmot,,MC363
MC362,AtrixMJ's Baltimore Regional 2027 Team,,Michael Rogers,,,,Floettite,,,Garchompite Z,,,Passho Berry,,,Life Orb,,,Focus Sash,,,Twisted Spoon,,https://pokepast.es/953deeed6ec8064d,Yes,Extracted,✔,SH9PE4TG4S,21 Sep 2026,Baltimore Regional 2027,,https://x.com/atrixmj/status/2101858913511494050?s=46,-,https://victoryroad.pro/2027-baltimore/,atrixmj,,Floette-Eternal-Mega,Garchomp-Mega-Z,Incineroar,Torkoal,Sneasler,Farigiraf,,MC362
MC361,aboxoftimbits' Baltimore Regional 2027 Team,,Olivia Moledzki,,,,Froslassite,,,Salamencite,,,Choice Scarf,,,Sitrus Berry,,,White Herb,,,Chople Berry,,https://pokepast.es/31b8f7d49cc7e13a,Yes,Extracted,✔,WA181E3AQY,20 Sep 2026,Baltimore Regional 2027,,https://x.com/aboxoftimbits/status/2101635822856319022?s=46,-,https://victoryroad.pro/2027-baltimore/,aboxoftimbits,,Froslass-Mega,Salamence-Mega,Basculegion,Rillaboom,Sneasler,Kingambit,,MC361
MC360,sometimessidd's Showdown Ladder Peak 1st Place Team,,sometimessidd,,,,Blazikenite,,,Meowsticite,,,Charcoal,,,Choice Scarf,,,Colbur Berry,,,Life Orb,,https://pokepast.es/45b92d43eb0a8519,Yes,Owner's,X,None,22 Sep 2026,Showdown Ladder,Peak 1st,https://x.com/sometimessidd/status/2101998115767357579?s=46,-,-,sometimessidd,,Blaziken-Mega,Meowstic-F-Mega,Torkoal,Meowscarada,Indeedee-F,Gholdengo,,MC360
MC359,spy_anya11's Recreation of JoeUX9's Baltimore Regional 2027 Champion Team,,spy_anya11,,,,Salamencite,,,Tyranitarite,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Psychic Seed,,https://pokepast.es/eff6d03dcb9d2c85,Yes,Extracted,✔,KHV4QRC6A3,21 Sep 2026,-,,https://x.com/SPY_Anya11/status/2101901960224063849,https://x.com/tempo777/status/2102004564983439528?s=46&t=ZU5xE6uee8jLQL2BkDlMxg,-,SPY_Anya11,,Salamence-Mega,Tyranitar-Mega,Excadrill,Sneasler,Indeedee,Corviknight,,MC359
